title,price,isbn,publication_year,language,cover_type,pages_number,book_id,author_id,publisher_id,genre,rating
Astrology,13400.0,9780241255520,2018.0,English,Hard,256.0,7397,1940,102,Fantasy,1.7
Легенды и мифы Древней Греции,1900.0,9785171122065,2023.0,Russian,Soft,320.0,7398,1442,11,Romance,0.9
Галлюцинации,3700.0,9785170974160,2022.0,Russian,Soft,416.0,7399,366,11,Fantasy,4.6
Հայոց պատմություն: Հնագույն ժամանակներից մինչև մեր օրերը,2950.0,9789994114252,2015.0,Armenian,Soft,352.0,7400,1941,8,Romance,3.9
Van Gogh: Struggle & Success,8800.0,9780984310517,2013.0,English,Hard,170.0,7401,1942,206,Fantasy,3.8
The Lies of Locke Lamora,7100.0,9780575079755,2007.0,English,Soft,544.0,7402,1943,85,Self-Help,1.7
Raphael Moneo,5400.0,9788864130125,2009.0,English,Hard,120.0,7403,1944,207,Non-Fiction,4.9
Camus: The Plague,4800.0,9780241980620,2022.0,English,Soft,304.0,7404,1184,53,Science Fiction,1.0
Հայաստանի համար,2000.0,9789939925509,2021.0,Armenian,Soft,79.0,7405,1945,162,Self-Help,4.1
Атака на титанов. Книга 1,6800.0,9785389084230,2022.0,Russian,Hard,384.0,7406,1796,15,Biography,1.8
Death Note. Black Edition. Книга 5,8600.0,9785389141568,2021.0,Russian,Hard,376.0,7407,1253,15,Romance,1.3
Коралина,4500.0,9785170846214,2023.0,Russian,Hard,192.0,7408,1732,11,History,4.0
All Colours of Armenia,10650.0,9789939837185,2016.0,English,Soft,128.0,7409,1946,116,History,4.8
Так говорил Заратустра,2400.0,9785170909445,2023.0,Russian,Soft,416.0,7410,435,11,Fiction,2.9
Театр,2300.0,9785170814282,2023.0,Russian,Soft,320.0,7411,1947,11,Mystery,2.4
Физика будущего (Покет),4300.0,9785916719079,2023.0,Russian,Soft,736.0,7412,1317,28,Romance,1.0
Фрикономика: Экономистхулиган и журналистсорвиголова исследуют скрытые причины всего на свете,5100.0,9785961467796,2023.0,Russian,Hard,236.0,7413,1948,28,Romance,1.4
Визуальный словарь архитектуры,14900.0,9785446101320,2023.0,Russian,Hard,168.0,7414,1086,33,Non-Fiction,3.2
Իլոն Մասկ,6800.0,9789939884226,2021.0,Armenian,Hard,424.0,7415,1949,1,History,4.1
Արտասահմանյան երկրների երաժշտական գրականությունը․ մաս 2,4900.0,9789939756165,2021.0,Armenian,Hard,336.0,7416,1950,5,Biography,2.5
Բաքու,6900.0,9789939756400,2021.0,Armenian,Hard,624.0,7417,1918,5,Mystery,4.3
Անվերջանալի գիշեր,3900.0,9789939757469,2021.0,Armenian,Soft,256.0,7418,10,5,Non-Fiction,4.4
Ականջդ բեր ասեմ,4200.0,9789939895017,2021.0,Armenian,Hard,304.0,7419,416,41,Thriller,1.6
Իսլամագիտություն․ 1 մաս,3000.0,9785808424661,2020.0,Armenian,Soft,228.0,7420,1951,4,Biography,3.6
НИ СЫ. Будь уверен в своих силах и не позволяй сомнениям мешать тебе двигаться вперед.,6500.0,9785699986309,2023.0,Russian,Hard,320.0,7421,1242,35,Biography,2.6
The Little Prince,6400.0,9781784874186,2020.0,English,Soft,112.0,7422,546,38,Non-Fiction,1.2
"Когда дыхание растворяется в воздухе. Иногда судьбе все равно, что ты врач",6200.0,9785699902064,2022.0,Russian,Ultrathin,208.0,7423,1952,35,Biography,1.2
Здоровое общество,3700.0,9785171164683,2023.0,Russian,Soft,528.0,7424,1002,11,Romance,1.4
"Женщина, у которой есть план. Правила счастливой жизни",8100.0,9785041121624,2023.0,Russian,Hard,208.0,7425,1953,35,Self-Help,3.2
The Complete Works,20400.0,9781857152593,2003.0,English,Hard,1376.0,7426,1954,38,Thriller,3.4
М - значит магия,2200.0,9785171232412,2023.0,Russian,Soft,288.0,7427,1732,11,Non-Fiction,2.6
Мастер и Маргарита,3700.0,9785041076986,2023.0,Russian,Hard,480.0,7428,738,35,Self-Help,0.7
Приключения Незнайки и его друзей (ил. Г. Валька),6100.0,9785040930791,2022.0,Russian,Hard,176.0,7429,1638,35,Romance,1.5
Brave New World,9400.0,9781841593593,2013.0,English,Hard,264.0,7430,228,45,Biography,3.1
3D Model: Leonardo Da Vinci's Machines,14800.0,9788868605674,2022.0,English,Hard,14.0,7431,1955,161,Non-Fiction,3.1
Цветы для Элджернона,3800.0,9785041054632,2023.0,Russian,Hard,320.0,7432,1096,35,Thriller,0.6
Французский язык! Большой понятный самоучитель,3200.0,9785171121198,2018.0,Russian,Hard,384.0,7433,1956,11,Science Fiction,3.7
Тысячеликий герой,6900.0,9785446108565,2023.0,Russian,Hard,352.0,7434,1957,33,Fiction,0.6
Дело не в кофе: Корпоративная культура Starbucks (суперобложка),5200.0,9785961469257,2023.0,Russian,Ultrathin,192.0,7435,1958,28,Mystery,2.8
"Пиши, сокращай: Как создавать сильные 1 тексты",6800.0,9785961465266,2023.0,Russian,Soft,440.0,7436,1307,28,Fiction,3.2
Что такое жизнь?,2200.0,9785171106270,2023.0,Russian,Soft,288.0,7437,1959,11,Fiction,1.0
"Мозгоускорители: Как научиться эффективно мыслить, используя приемы из разных наук",6100.0,9785961468144,2020.0,Russian,Soft,320.0,7438,1960,28,Science Fiction,0.2
Метод волка с Уоллстрит: Откровения лучшего продавца в мире,7300.0,9785961469417,2023.0,Russian,Hard,288.0,7439,1903,28,Mystery,3.0
Драйв: Что на самом деле нас мотивирует,5500.0,9785961470956,2015.0,Russian,Hard,274.0,7440,1961,28,Self-Help,1.1
"Дизайн вашей жизни: Живите так, как нужно именно вам",6500.0,9785961465143,2022.0,Russian,Soft,264.0,7441,729,28,Biography,1.8
Вторая мировая война. В 3 книгах,25800.0,9785916719338,2023.0,Russian,Hard,2128.0,7442,215,28,Mystery,3.8
Вся кремлевская рать: Краткая история современной России,7700.0,9785990813397,2023.0,Russian,Hard,408.0,7443,1962,28,Biography,2.6
Стартап: Настольная книга основателя /,14300.0,9785961460353,2023.0,Russian,Hard,616.0,7444,1963,28,Thriller,2.5
Развитие лидеров: Как понять свой стиль управления и эффективно общаться с носителями иных стилей,5800.0,9785961467802,2023.0,Russian,Hard,264.0,7445,730,28,Fantasy,1.6
Будденброки,2900.0,9785171050696,2023.0,Russian,Soft,800.0,7446,428,11,Non-Fiction,1.0
The Hobbit,6500.0,9780261103344,2011.0,English,Soft,400.0,7447,781,103,History,3.9
"Հայաստան, Ադրբեջան և Թուրքիա. Մշակութային, աշխարհագրական և պատմական հակասությունների քննարկում",8000.0,9789939687667,2020.0,Armenian,Soft,120.0,7448,769,8,History,3.2
The Great Gatsby,5800.0,9781847492586,2012.0,English,Soft,224.0,7449,937,105,History,2.7
Перси Джексон и море Чудовищ (кинообложка),4600.0,9785699649983,2023.0,Russian,Hard,384.0,7450,1964,35,History,1.7
Бегство от свободы,2200.0,9785170916818,2023.0,Russian,Soft,288.0,7451,1002,11,Fantasy,3.9
Криштиану Роналду. Одержимый совершенством + постер,5400.0,9785699746101,2023.0,Russian,Hard,288.0,7452,1965,35,Non-Fiction,2.1
Խաղասրահ Պաչինկո,1990.0,9789939810539,2021.0,Armenian,Soft,72.0,7453,1966,120,Thriller,2.8
Հոկտեմբերյան գիշերներ: Զբոսանքներ և հիշողություններ,2990.0,9789939766492,2021.0,Armenian,Hard,232.0,7454,1968,2,Romance,1.6
Դոմինո,1000.0,9789939514024,2012.0,Armenian,Soft,168.0,7455,971,2,Romance,0.9
"Հայերը և թուրքերը․ Պատերազմ, սառը պատերազմ, դիվանագիտություն",5000.0,9789939513652,2012.0,Armenian,Soft,488.0,7456,1490,142,Biography,2.6
Ֆենիքս Դարբինյան,12800.0,9789939884189,2021.0,Armenian,Hard,280.0,7457,1969,1,Fiction,4.0
Հույսի նավակը,4200.0,9789994109838,2021.0,Armenian,Hard,400.0,7458,1970,4,Fantasy,3.8
Воспоминания о будущем. Идеи современной экономики.Хазин М,6800.0,9785386127855,2021.0,Russian,Hard,463.0,7459,1971,76,Non-Fiction,0.3
Диалоги,7800.0,9785386100155,2022.0,Russian,Soft,576.0,7460,1177,76,Fiction,0.9
Новая земля. Пробуждение к своей жизненной цели,6900.0,9785386123185,2020.0,Russian,Soft,332.0,7461,582,76,History,0.7
Диалоги,10300.0,9785386094287,2022.0,Russian,Hard,576.0,7462,1177,76,Non-Fiction,1.2
Асборн - карточки. Игры для тренировки мозга в путешествии,4600.0,9785436604732,2022.0,Russian,Box,50.0,7463,1973,79,Fantasy,1.0
Что такое космос,6200.0,9785436605241,2022.0,Russian,Hard,12.0,7464,1974,79,Romance,3.5
Зоо и Динопутаница. Подарочный набор,6800.0,9785436604602,2022.0,Russian,Box,66.0,7465,1973,79,Fiction,0.8
Секреты аэропорта,8400.0,9785436601717,2022.0,Russian,Hard,14.0,7466,1975,79,Non-Fiction,0.7
Вопросы и ответы об искусстве,8200.0,9785436605593,2022.0,Russian,Hard,12.0,7467,1974,79,Romance,4.3
"Вижу вас насквозь. Как ""читать"" людей (экопакет)",2800.0,9785446111800,2023.0,Russian,Soft,256.0,7468,887,33,Romance,2.0
Тэнсай. Развиваем интеллект. Начальная школа 3 ( с наклейками),2600.0,9785001163336,2020.0,Russian,Soft,32.0,7469,1544,33,Fantasy,4.6
Психология лжи,9800.0,9785446109173,2022.0,Russian,Hard,304.0,7470,559,33,Biography,3.5
Вопросы и ответы о науке,8700.0,9785436605043,2022.0,Russian,Hard,14.0,7471,1976,79,Fiction,4.3
Как все работает,8600.0,9785436604992,2022.0,Russian,Hard,14.0,7472,1975,79,Fiction,4.8
"Станция на пути туда, где лучше",5100.0,9785864718414,2022.0,Russian,Hard,368.0,7473,1977,75,Mystery,0.9
"Там, где раки поют",6100.0,9785864718360,2022.0,Russian,Hard,416.0,7474,735,75,Biography,0.5
И снова Оливия,4700.0,9785864718377,2020.0,Russian,Hard,416.0,7475,1978,75,Romance,3.4
Мельмот,5500.0,9785864718483,2022.0,Russian,Hard,384.0,7476,1979,75,Fantasy,1.5
Опоздавшие,5100.0,9785864718599,2020.0,Russian,Hard,480.0,7477,1980,75,Romance,3.3
Писатели & любовники,5100.0,9785864718636,2021.0,Russian,Hard,368.0,7478,1981,75,Science Fiction,3.6
Троя,6300.0,9785864718698,2020.0,Russian,Hard,432.0,7479,1831,75,Thriller,1.9
Герои,7500.0,9785864718186,2022.0,Russian,Hard,544.0,7480,1831,75,Science Fiction,1.8
Символический обмен и смерть,9100.0,9785386139896,2022.0,Russian,Hard,512.0,7481,1671,76,Non-Fiction,0.1
Самурай без меча,4900.0,9789851545823,2020.0,Russian,Hard,208.0,7482,1982,71,Fantasy,2.0
Воспоминания о Сократе,6300.0,9785386107710,2021.0,Russian,Soft,472.0,7483,1983,76,History,0.0
Пир. Платон,6200.0,9785386138844,2021.0,Russian,Hard,314.0,7484,1177,76,Mystery,0.5
Бумажные города,4700.0,9785386137823,2021.0,Russian,Hard,320.0,7485,1759,76,Fantasy,3.4
Государство. Платон,5500.0,9785386140595,2021.0,Russian,Hard,536.0,7486,1177,76,History,0.3
Продавай больше! Как команде менеджеров совершитьрывок,4400.0,9789851537149,2022.0,Russian,Hard,240.0,7487,71,71,Romance,3.4
Здоровое сердце. 2-е изд.,4700.0,9789851531253,2017.0,Russian,Soft,464.0,7488,1321,71,Fiction,0.8
Молот ведьм,4900.0,9785521008315,2017.0,Russian,Hard,524.0,7489,1984,80,Thriller,1.8
Набережная Неисцелимых = Watermark: эссе,3800.0,9785604457047,2020.0,Russian,Soft,192.0,7490,1114,208,History,4.6
Девственницы-самоубийцы,2500.0,9785386128395,2020.0,Russian,Soft,366.0,7491,1985,76,Romance,3.4
24 закона обольщения для достижения власти,3900.0,9785386135584,2022.0,Russian,Soft,256.0,7492,692,76,Romance,0.5
Бумажные города,2900.0,9785386107000,2022.0,Russian,Soft,368.0,7493,1759,76,Biography,3.3
"Есть, молиться, любить 2: Законный брак",3100.0,9785386135195,2022.0,Russian,Soft,383.0,7494,573,76,Mystery,4.5
Сила,4700.0,9785864718506,2020.0,Russian,Hard,464.0,7495,1986,75,Science Fiction,1.8
Կրկին ծնվածները,2990.0,9789939766584,2021.0,Armenian,Hard,164.0,7496,951,2,Non-Fiction,0.4
Зодиак. Непойманный убийца,4700.0,9785386121563,2018.0,Russian,Hard,426.0,7497,1987,76,Science Fiction,4.3
Կանաչ ու սև․ 2020 թվականի հայկական աղետը,6000.0,9789939882925,2021.0,Armenian,Soft,516.0,7498,1490,142,Self-Help,2.5
Մահվան հովիտ,4000.0,9789939882963,2021.0,Armenian,Soft,360.0,7499,1490,142,History,4.2
Իբր պոեզիա,3800.0,9789939877747,2021.0,Armenian,Soft,80.0,7500,1988,9,Fiction,0.0
Ռազմարվեստ․ Ցամաքային ճեղքում․ Հատոր 2,25000.0,9789939034911,2020.0,Armenian,Hard,1333.0,7501,1734,160,Fantasy,1.9
Тигран Великий: меж двух огней,3400.0,9785604292242,2019.0,Russian,Soft,292.0,7502,1989,4,Fiction,1.4
Двадцать тысяч лье под водой,2400.0,9785170930487,2015.0,Russian,Hard,480.0,7503,617,11,Science Fiction,2.1
Кортик,2200.0,9785170930562,2016.0,Russian,Hard,284.0,7504,2110,11,Biography,2.9
Forrest Gump,1900.0,9785949622926,2017.0,Russian,Soft,128.0,7505,2111,226,History,3.8
Кортик,2000.0,9785170930579,2016.0,Russian,Hard,284.0,7506,2110,11,Biography,1.8
Золотой жук,2400.0,9785170931521,2015.0,Russian,Soft,480.0,7507,7,11,Fiction,4.2
Fight Club,2500.0,9785949622933,2015.0,Russian,Soft,160.0,7508,2112,226,Mystery,4.5
Остальные тридцать два,4300.0,9785170932023,2016.0,Russian,Hard,480.0,7509,264,11,Romance,4.3
Клен ты мой опавший...,2000.0,9785170932702,2015.0,Russian,Soft,416.0,7510,2113,11,Self-Help,0.8
Лавка дурных снов,4800.0,9785170941841,2016.0,Russian,Hard,608.0,7511,242,11,Mystery,4.2
Любимые стихи,2800.0,9785170943562,2016.0,Russian,Flexible,64.0,7512,60,11,Science Fiction,0.7
"Виктор Цой. Жизнь и ""КИНО""",5100.0,9785170942985,2016.0,Russian,Hard,304.0,7513,2114,11,History,4.7
Adele: The Biography,3000.0,9781786060211,2015.0,English,Soft,256.0,7514,2115,225,Fantasy,0.3
Amazing Fantastic Incredible: A Marvelous Memoir,6800.0,9781471152597,2015.0,English,Hard,192.0,7515,2116,46,Thriller,2.6
Пинки Пай и каменная пони-вечеринка,2200.0,9785170945801,2016.0,Russian,Hard,128.0,7516,2117,11,Thriller,1.6
Великий Гэтсби. Уровень 4,1200.0,9785170943784,2016.0,Russian,Soft,128.0,7517,937,11,Romance,1.1
Empire V,1900.0,9785699424207,2016.0,Russian,Soft,416.0,7518,489,35,Thriller,1.5
"Olive, Again",9200.0,9780241374597,2019.0,English,Hard,304.0,7519,1978,53,History,0.2
Волшебная комната,1900.0,9785170949250,2016.0,Russian,Soft,48.0,7520,2118,11,History,5.0
Elon Musk,8800.0,9780062469670,2016.0,English,Soft,448.0,7521,1949,227,Self-Help,2.8
Острова и море,4100.0,9785170949694,2016.0,Russian,Hard,448.0,7522,264,11,Fiction,4.1
Волшебный город,1100.0,9785170950799,2015.0,Russian,Soft,48.0,7523,2119,11,Science Fiction,3.0
Last Witnesses,8000.0,9780141983554,2020.0,English,Soft,320.0,7524,1861,53,Romance,3.9
Eat Pray Love,2900.0,9785990762213,2018.0,Russian,Soft,224.0,7525,573,226,Fiction,1.3
Парень из Колорадо,2400.0,9785170951697,2016.0,Russian,Hard,192.0,7526,242,11,Biography,2.5
Глубокая игра: Заметки о петушиных боях у балийцев,3100.0,9785911033736,2017.0,Russian,Soft,96.0,7527,2120,115,Thriller,4.9
Ветер в ивах,8400.0,9785170952021,2016.0,Russian,Hard,392.0,7528,2121,228,Romance,4.6
Death of a Salesman,2700.0,9785949621622,2010.0,English,Hard,160.0,7529,2122,226,Biography,1.0
Котёнок по имени Гав,2900.0,9785170952960,2016.0,Russian,Flexible,64.0,7530,230,11,Science Fiction,0.9
Кошки,10200.0,9785170954131,2016.0,Russian,Hard,256.0,7531,2123,11,Fantasy,2.3
Ги Дебор,4400.0,9785911032319,2015.0,Russian,Soft,192.0,7532,2124,115,History,3.5
Приключения Оливера Твиста,2300.0,9785389060128,2014.0,Russian,Hard,544.0,7533,207,15,History,1.2
Охотничьи рассказы. Уровень 3,1300.0,9785170954384,2016.0,Russian,Soft,160.0,7534,1777,11,Self-Help,1.2
Dandelion Wine,4700.0,9785949622209,2018.0,English,Hard,288.0,7535,1236,226,Science Fiction,4.6
Аура,5100.0,9785170954834,2016.0,Russian,Hard,416.0,7536,2125,11,Mystery,2.6
Нарцисс и Златоуст,2300.0,9785170956050,2016.0,Russian,Soft,320.0,7537,235,11,Mystery,1.4
Мисс Ведьма,3400.0,9785170956210,2017.0,Russian,Hard,256.0,7538,2126,11,Biography,1.9
Chocolat,2500.0,9785990680852,2018.0,Russian,Soft,160.0,7539,1636,226,Non-Fiction,1.5
Мир Полудня,15300.0,9785170956258,2016.0,Russian,Hard,1344.0,7540,1450,11,Science Fiction,2.3
"Высокое искусство, версия облегченная. Взлет и падение бритарта 90-х",9800.0,9785911032609,2015.0,Russian,Soft,464.0,7541,2127,115,History,2.4
Вокруг света в восемьдесят дней,2100.0,9785170960972,2016.0,Russian,Hard,320.0,7542,617,11,Science Fiction,0.6
"Богатство ждет вас! Ключ, который откроет дверь",2000.0,9785170961122,2016.0,Russian,Hard,253.0,7543,2128,11,Mystery,4.9
Маленький принц,7400.0,9785171144883,2019.0,Russian,Hard,112.0,7544,546,11,Thriller,2.7
Гигантская иллюстрированная энциклопедия школьника,8800.0,9785170961283,2016.0,Russian,Hard,320.0,7545,2129,229,Biography,4.2
Коралина,7500.0,9785170961719,2016.0,Russian,Hard,192.0,7546,1732,11,History,4.9
50 дней до моего самоубийства,3800.0,9785170886739,2015.0,Russian,Hard,576.0,7547,2130,11,Biography,3.5
"Вы, конечно, шутите, мистер Фейнман!",2700.0,9785170922932,2023.0,Russian,Soft,480.0,7548,1624,11,History,1.1
300 Спартанцев,1800.0,9785699509119,2011.0,Russian,Hard,352.0,7549,2131,35,Biography,3.7
1Q84. Тысяча Невестьсот Восемьдесят Четыре. Книга 3. Октябрь-декабрь,2500.0,9785699656172,2019.0,Russian,Soft,512.0,7550,1764,35,Mystery,2.0
Selected Poems of Pablo Neruda,7300.0,9780099561293,2012.0,English,Soft,512.0,7551,2132,38,History,3.4
A Short History of Nearly Everything,8900.0,9781784161859,2017.0,English,Soft,672.0,7552,2133,52,Non-Fiction,4.0
1Q84. Тысяча Невестьсот Восемьдесят Четыре. В 3-х книгах. Книга 1. Апрель - июнь,2500.0,9785699572908,2019.0,Russian,Soft,576.0,7553,1764,35,Thriller,3.7
Swing Time,7400.0,9780141036601,2017.0,English,Soft,464.0,7554,1038,38,History,2.1
Little Women,5900.0,9780099572961,2013.0,English,Soft,432.0,7555,2134,38,Fiction,1.9
Little Women,7400.0,9780141321080,2015.0,English,Soft,400.0,7556,2134,53,Non-Fiction,3.8
Шестерка воронов,4900.0,9785171081546,2021.0,Russian,Hard,576.0,7557,501,11,Biography,2.9
Just So Stories,6400.0,9780141321622,2008.0,English,Soft,224.0,7558,226,53,History,1.1
Grimms' Fairy Tales,7100.0,9780141331201,2011.0,English,Soft,400.0,7559,1406,53,Fantasy,0.9
"Как поссорились Apple и Google и, затеяв войну, начали революцию",6100.0,9785389081857,2014.0,Russian,Hard,256.0,7560,2135,15,Non-Fiction,0.5
Рассказы,2900.0,9785699752058,2014.0,Russian,Flexible,576.0,7561,379,35,Fantasy,1.9
The Book Thief,7300.0,9781784162122,2016.0,English,Soft,560.0,7562,1202,52,Biography,4.4
Бессонница. Гомер. Тугие паруса,2800.0,9785699668922,2016.0,Russian,Hard,384.0,7563,1650,35,Mystery,4.5
Владислав Мамышев-Монро / Vladislav Mamyshev-Monroe,2300.0,9785911032036,2014.0,Russian,Soft,52.0,7564,2136,115,Mystery,4.6
Приключения Ёженьки и других нарисованных человечков,4300.0,9785699905652,2016.0,Russian,Hard,80.0,7565,2137,35,Romance,4.9
Around the World in Eighty Days,6400.0,9780141366296,2016.0,English,Soft,320.0,7566,617,53,History,4.4
Владимир Архипов / Vladimir Arkhipov,2300.0,9785911032012,2017.0,Russian,Soft,76.0,7567,182,115,Self-Help,3.4
God Help the Child,4000.0,9780701186050,2015.0,English,Hard,192.0,7568,717,38,Non-Fiction,2.2
Приключения Незнайки и его друзей,5100.0,9785389035508,2012.0,Russian,Hard,240.0,7569,1638,34,Self-Help,0.9
Приключения Оливера Твиста,3000.0,9785699414994,2016.0,Russian,Hard,640.0,7570,207,35,Non-Fiction,0.9
Приключения Оливера Твиста,4100.0,9785699887880,2016.0,Russian,Hard,480.0,7571,207,35,Self-Help,4.7
ПОПизм. Уорхоловские 60-е,6000.0,9785901032814,2016.0,Russian,Soft,352.0,7572,2138,115,Fantasy,3.2
Собрание сочинений. Том 3. Жозеф Фуше: Портрет политического деятеля; Мария Стюарт,1550.0,9785170548705,2009.0,Russian,Hard,704.0,7573,427,11,Non-Fiction,1.2
Приключения Тома Сойера,2100.0,9785170908622,2015.0,Russian,Hard,320.0,7574,514,11,Mystery,2.2
Адюльтер,2400.0,9785170901876,2016.0,Russian,Soft,352.0,7575,58,11,History,3.2
Приключения Тома Сойера,2200.0,9785170908646,2015.0,Russian,Hard,320.0,7576,514,11,Biography,4.4
Vincent Van Gogh: The Years in France: Complete Paintings 1886-1890,24300.0,9781781300190,2013.0,English,Hard,348.0,7577,2139,230,Fiction,2.3
У,3700.0,9785389057913,2013.0,Russian,Ultrathin,432.0,7578,2140,15,Non-Fiction,0.1
Борис Михайлов / Boris Mikhailov,2300.0,9785911032258,2015.0,Russian,Soft,52.0,7579,2141,115,Biography,4.0
Приключения Тома Сойера,1800.0,9785699879014,2017.0,Russian,Hard,256.0,7580,514,35,Biography,4.1
Soul of the Marionette: A Short Enquiry into Human Freedom,3100.0,9780241953907,2016.0,English,Soft,192.0,7581,764,53,Biography,1.5
Ты кем себя воображаешь?,4200.0,9785389081970,2015.0,Russian,Ultrathin,288.0,7582,2142,15,Biography,1.1
Приключения Тома Сойера и Гекльберри Финна,2300.0,9785389049208,2014.0,Russian,Hard,608.0,7583,514,15,Romance,0.7
Short Introduction to Religion,3600.0,9780857301703,2019.0,English,Soft,256.0,7584,2143,231,Biography,4.7
Приключения Тома Сойера. Приключения Гекльберри Финна,4500.0,9785170871872,2015.0,Russian,Hard,704.0,7585,514,11,Fantasy,4.8
Your Pregnancy Week by Week,5300.0,9781849495608,2015.0,English,Soft,144.0,7586,2144,232,Self-Help,4.2
Приключения Тома Сойера. Уровень 2,1200.0,9785170991914,2016.0,Russian,Soft,128.0,7587,514,11,Biography,0.3
"Белый город, Черный город. Архитектура и война в Тель-Авиве и Яффе",5100.0,9785911033354,2017.0,Russian,Soft,256.0,7588,2145,115,Non-Fiction,4.2
Անհաղթ աքլորը,480.0,9789939902753,2010.0,Armenian,Hard,10.0,7589,29,106,Romance,0.9
Приключения Чиполлино,6300.0,9785699649112,2014.0,Russian,Hard,296.0,7590,1773,35,Science Fiction,4.8
Կարմիր գլխարկը համայնապատկեր,2400.0,9789939847276,2014.0,Armenian,Hard,10.0,7591,63,106,Science Fiction,1.5
Manolo's New Shoes,8100.0,9780500288856,2011.0,English,Soft,200.0,7592,2146,43,Biography,3.2
Կարմիր գլխարկը գիրք-թատրոն,3000.0,9789939847412,2016.0,Armenian,Hard,12.0,7593,63,106,Fiction,4.2
Приключения Чиполлино,6800.0,9785699828463,2015.0,Russian,Hard,240.0,7594,1773,35,Mystery,0.4
Բոքոնիկը (գիրք համայնապատկեր),2400.0,9789939847245,2018.0,Armenian,Hard,10.0,7595,2147,106,Thriller,4.6
Собрание сочинений. Том 4,1500.0,9785170554348,2010.0,Russian,Hard,576.0,7596,427,11,History,3.0
Атлас Города,11400.0,9785911033941,2017.0,Russian,Hard,64.0,7597,2148,115,Science Fiction,2.1
Make & Move Mega: Creatures of the Deep,4700.0,9781786271891,2018.0,English,Soft,40.0,7598,2149,124,Fantasy,3.3
Приключения Чиполлино,4400.0,9785699846283,2016.0,Russian,Hard,240.0,7599,1773,35,Biography,1.5
"Продавец обуви. История компании Nike, рассказанная ее основателем",5400.0,9785699981625,2022.0,Russian,Soft,496.0,7600,2150,35,Fantasy,2.5
John Lennon: I Met The Walrus,6700.0,9780061713262,2009.0,English,Hard,168.0,7601,2151,103,Science Fiction,3.1
Андрей Монастырский / Andrei Monastyrsky,2300.0,9785911032173,2014.0,Russian,Soft,68.0,7602,2152,115,Romance,2.2
How To Be Both,3300.0,9780141025209,2015.0,English,Soft,386.0,7603,2153,53,Biography,2.8
Приключения Шерлока Холмса,2400.0,9785170968459,2017.0,Russian,Hard,352.0,7604,384,11,History,0.2
Great Philosophers: Lives & Ideas of History's Greatest Thinkers,3900.0,9781787477209,2013.0,English,Soft,300.0,7605,2154,125,Thriller,3.2
Doctor Proctor's Fart Powder,2800.0,9781471125355,2022.0,English,Soft,272.0,7606,1238,46,Fantasy,0.5
Прикосновение,3700.0,9785170916801,2017.0,Russian,Hard,512.0,7607,2155,11,Fiction,0.4
Александр Родченко / Alexandr Rodchenko,2300.0,9785911032265,2015.0,Russian,Soft,72.0,7608,2156,115,History,4.4
Питер Пэн и Венди,7000.0,9785389008700,2010.0,Russian,Hard,208.0,7609,453,34,Mystery,1.7
Принц и нищий,2200.0,9785170968817,2016.0,Russian,Hard,320.0,7610,514,11,Romance,2.9
Правда о деле Гарри Квеберта,7700.0,9785170862627,2021.0,Russian,Hard,720.0,7611,863,11,Fantasy,0.1
Принц и нищий,2600.0,9785170968848,2021.0,Russian,Hard,320.0,7612,514,11,Romance,0.4
Адорно в Неаполе,6800.0,9785911033910,2017.0,Russian,Soft,328.0,7613,2157,115,Science Fiction,2.3
Искра жизни,2700.0,9785170930401,2015.0,Russian,Soft,480.0,7614,289,11,Self-Help,3.4
Принцесса и яблоня,6400.0,9785389089532,2016.0,Russian,Hard,120.0,7615,2158,15,Science Fiction,3.8
Принцесса Искорка и затерянный книжный город,2200.0,9785171026417,2017.0,Russian,Hard,128.0,7616,2117,11,Mystery,3.5
Принцесса на горошине,400.0,9785389133792,2017.0,Russian,Soft,16.0,7617,61,34,Romance,4.6
Принцесса на горошине и другие сказки,2100.0,9785699916719,2016.0,Russian,Hard,64.0,7618,61,35,Self-Help,2.3
Принцессы. Disney (+CD),5700.0,9785389046887,2012.0,Russian,Hard,30.0,7619,2159,34,Self-Help,2.8
"Приходи к нам, Сказка!",5300.0,9785171030445,2017.0,Russian,Hard,160.0,7620,60,11,Self-Help,2.5
Нью-Йоркская школа и культура ее времени,6500.0,9785911033200,2017.0,Russian,Soft,336.0,7621,2160,115,Fiction,2.8
Приют Грез,1600.0,9785170854691,2014.0,Russian,Soft,285.0,7622,289,11,Mystery,1.3
О фотографии,4300.0,9785911034511,2018.0,Russian,Soft,272.0,7623,2161,115,Mystery,2.6
Приют Грез. Гэм. Станция на горизонте,5200.0,9785171002534,2016.0,Russian,Hard,640.0,7624,289,11,Mystery,4.2
Образцы безоглядной воли,7600.0,9785911034320,2018.0,Russian,Soft,312.0,7625,2161,115,Science Fiction,4.0
Про веселых обезьянок и другие сказки,5300.0,9785171005771,2017.0,Russian,Hard,155.0,7626,230,11,Fiction,1.0
"Carry On, Jeeves: (Jeeves & Wooster)",2700.0,9780099513698,2008.0,English,Soft,288.0,7627,2162,55,Self-Help,1.4
Про Лотту с Горластой улицы,6100.0,9785389085022,2015.0,Russian,Hard,112.0,7628,754,34,Biography,3.5
Одинокий город,6800.0,9785911034733,2019.0,Russian,Soft,352.0,7629,2163,115,Thriller,1.7
